trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_1,08:15:00,08:16:00,stop_1,1
trip_1,08:20:00,08:21:00,stop_2,2
trip_1,08:25:00,08:26:00,stop_3,3
trip_1,08:30:00,08:31:00,stop_4,4
trip_1,08:35:00,08:36:00,stop_5,5
trip_2,08:15:00,08:16:00,stop_1,1
trip_2,08:20:00,08:21:00,stop_2,2
trip_2,08:25:00,08:26:00,stop_3,3
trip_2,08:30:00,08:31:00,stop_4,4
trip_2,08:35:00,08:36:00,stop_5,5
trip_3,08:15:00,08:16:00,stop_1,1
trip_3,08:20:00,08:21:00,stop_2,2
trip_3,08:25:00,08:26:00,stop_3,3
trip_3,08:30:00,08:31:00,stop_4,4
trip_3,08:35:00,08:36:00,stop_5,5
trip_4,08:15:00,08:16:00,stop_1,1
trip_4,08:20:00,08:21:00,stop_2,2
trip_4,08:25:00,08:26:00,stop_3,3
trip_4,08:30:00,08:31:00,stop_4,4
trip_4,08:35:00,08:36:00,stop_5,5
trip_5,08:15:00,08:16:00,stop_1,1
trip_5,08:20:00,08:21:00,stop_2,2
trip_5,08:25:00,08:26:00,stop_3,3
trip_5,08:30:00,08:31:00,stop_4,4
trip_5,08:35:00,08:36:00,stop_5,5
trip_6,08:15:00,08:16:00,stop_1,1
trip_6,08:20:00,08:21:00,stop_2,2
trip_6,08:25:00,08:26:00,stop_3,3
trip_6,08:30:00,08:31:00,stop_4,4
trip_6,08:35:00,08:36:00,stop_5,5
trip_7,08:15:00,08:16:00,stop_1,1
trip_7,08:20:00,08:21:00,stop_2,2
trip_7,08:25:00,08:26:00,stop_3,3
trip_7,08:30:00,08:31:00,stop_4,4
trip_7,08:35:00,08:36:00,stop_5,5
trip_8,08:15:00,08:16:00,stop_1,1
trip_8,08:20:00,08:21:00,stop_2,2
trip_8,08:25:00,08:26:00,stop_3,3
trip_8,08:30:00,08:31:00,stop_4,4
trip_8,08:35:00,08:36:00,stop_5,5
trip_9,08:15:00,08:16:00,stop_1,1
trip_9,08:20:00,08:21:00,stop_2,2
trip_9,08:25:00,08:26:00,stop_3,3
trip_9,08:30:00,08:31:00,stop_4,4
trip_9,08:35:00,08:36:00,stop_5,5
trip_10,08:15:00,08:16:00,stop_1,1
trip_10,08:20:00,08:21:00,stop_2,2
trip_10,08:25:00,08:26:00,stop_3,3
trip_10,08:30:00,08:31:00,stop_4,4
trip_10,08:35:00,08:36:00,stop_5,5
